,Diseases,Number of times a disease occurred in polygenic risk score's related articles
12281,rfMRI connectivity (ICA100 edge 613),0
12282,rfMRI connectivity (ICA100 edge 614),0
12283,rfMRI connectivity (ICA100 edge 615),0
12284,rfMRI connectivity (ICA100 edge 616),0
12285,rfMRI connectivity (ICA100 edge 617),0
12286,rfMRI connectivity (ICA100 edge 618),0
12287,rfMRI connectivity (ICA100 edge 619),0
12288,rfMRI connectivity (ICA100 edge 620),0
12289,rfMRI connectivity (ICA100 edge 621),0
12290,rfMRI connectivity (ICA100 edge 622),0
12291,rfMRI connectivity (ICA100 edge 623),0
12292,rfMRI connectivity (ICA100 edge 624),0
12293,rfMRI connectivity (ICA100 edge 625),0
12294,rfMRI connectivity (ICA100 edge 626),0
12295,rfMRI connectivity (ICA100 edge 627),0
12296,rfMRI connectivity (ICA100 edge 628),0
12297,rfMRI connectivity (ICA100 edge 629),0
12298,rfMRI connectivity (ICA100 edge 630),0
12299,rfMRI connectivity (ICA100 edge 656),0
12300,rfMRI connectivity (ICA100 edge 657),0
12301,rfMRI connectivity (ICA100 edge 658),0
12302,rfMRI connectivity (ICA100 edge 659),0
12303,rfMRI connectivity (ICA100 edge 660),0
12304,rfMRI connectivity (ICA100 edge 661),0
12305,rfMRI connectivity (ICA100 edge 662),0
12306,rfMRI connectivity (ICA100 edge 663),0
12307,rfMRI connectivity (ICA100 edge 664),0
12308,rfMRI connectivity (ICA100 edge 665),0
12309,rfMRI connectivity (ICA100 edge 666),0
12310,rfMRI connectivity (ICA100 edge 505),0
12311,rfMRI connectivity (ICA100 edge 506),0
12312,rfMRI connectivity (ICA100 edge 507),0
12313,rfMRI connectivity (ICA100 edge 508),0
12314,rfMRI connectivity (ICA100 edge 509),0
12315,rfMRI connectivity (ICA100 edge 510),0
12316,rfMRI connectivity (ICA100 edge 511),0
12317,rfMRI connectivity (ICA100 edge 512),0
12318,rfMRI connectivity (ICA100 edge 513),0
12319,rfMRI connectivity (ICA100 edge 514),0
12320,rfMRI connectivity (ICA100 edge 515),0
12321,rfMRI connectivity (ICA100 edge 516),0
12322,rfMRI connectivity (ICA100 edge 517),0
12323,rfMRI connectivity (ICA100 edge 518),0
12324,rfMRI connectivity (ICA100 edge 544),0
12325,rfMRI connectivity (ICA100 edge 545),0
12326,rfMRI connectivity (ICA100 edge 546),0
12327,rfMRI connectivity (ICA100 edge 547),0
12328,rfMRI connectivity (ICA100 edge 548),0
12329,rfMRI connectivity (ICA100 edge 549),0
12330,rfMRI connectivity (ICA100 edge 550),0
12331,rfMRI connectivity (ICA100 edge 551),0
12332,rfMRI connectivity (ICA100 edge 552),0
12333,rfMRI connectivity (ICA100 edge 553),0
12334,rfMRI connectivity (ICA100 edge 554),0
12335,rfMRI connectivity (ICA100 edge 555),0
12336,rfMRI connectivity (ICA100 edge 556),0
12337,rfMRI connectivity (ICA100 edge 557),0
12338,rfMRI connectivity (ICA100 edge 558),0
12339,rfMRI connectivity (ICA100 edge 559),0
12340,rfMRI connectivity (ICA100 edge 560),0
12341,rfMRI connectivity (ICA100 edge 561),0
12342,rfMRI connectivity (ICA100 edge 562),0
12343,rfMRI connectivity (ICA100 edge 563),0
12344,rfMRI connectivity (ICA100 edge 564),0
12345,rfMRI connectivity (ICA100 edge 565),0
12346,rfMRI connectivity (ICA100 edge 566),0
12347,rfMRI connectivity (ICA100 edge 567),0
12348,rfMRI connectivity (ICA100 edge 667),0
12349,rfMRI connectivity (ICA100 edge 631),0
12350,rfMRI connectivity (ICA100 edge 632),0
12351,rfMRI connectivity (ICA100 edge 633),0
12352,rfMRI connectivity (ICA100 edge 634),0
12353,rfMRI connectivity (ICA100 edge 635),0
12354,rfMRI connectivity (ICA100 edge 636),0
12355,rfMRI connectivity (ICA100 edge 637),0
12356,rfMRI connectivity (ICA100 edge 638),0
12357,rfMRI connectivity (ICA100 edge 639),0
12358,rfMRI connectivity (ICA100 edge 640),0
12359,rfMRI connectivity (ICA100 edge 641),0
12360,rfMRI connectivity (ICA100 edge 642),0
12361,rfMRI connectivity (ICA100 edge 643),0
12362,rfMRI connectivity (ICA100 edge 644),0
12363,rfMRI connectivity (ICA100 edge 645),0
12364,rfMRI connectivity (ICA100 edge 646),0
12365,rfMRI connectivity (ICA100 edge 647),0
12366,rfMRI connectivity (ICA100 edge 648),0
12367,rfMRI connectivity (ICA100 edge 649),0
12368,rfMRI connectivity (ICA100 edge 650),0
12369,rfMRI connectivity (ICA100 edge 651),0
12370,rfMRI connectivity (ICA100 edge 652),0
12371,rfMRI connectivity (ICA100 edge 653),0
12372,rfMRI connectivity (ICA100 edge 654),0
12373,rfMRI connectivity (ICA100 edge 655),0
12374,rfMRI connectivity (ICA100 edge 693),0
12375,rfMRI connectivity (ICA100 edge 694),0
12376,rfMRI connectivity (ICA100 edge 695),0
12377,rfMRI connectivity (ICA100 edge 696),0
12378,rfMRI connectivity (ICA100 edge 697),0
12379,rfMRI connectivity (ICA100 edge 698),0
12380,rfMRI connectivity (ICA100 edge 699),0
12381,rfMRI connectivity (ICA100 edge 700),0
12382,rfMRI connectivity (ICA100 edge 701),0
12383,rfMRI connectivity (ICA100 edge 702),0
12384,rfMRI connectivity (ICA100 edge 703),0
12385,rfMRI connectivity (ICA100 edge 704),0
12386,rfMRI connectivity (ICA100 edge 705),0
12387,rfMRI connectivity (ICA100 edge 706),0
12388,rfMRI connectivity (ICA100 edge 707),0
12389,rfMRI connectivity (ICA100 edge 708),0
12390,rfMRI connectivity (ICA100 edge 709),0
12391,rfMRI connectivity (ICA100 edge 710),0
12392,rfMRI connectivity (ICA100 edge 711),0
12393,rfMRI connectivity (ICA100 edge 712),0
12394,rfMRI connectivity (ICA100 edge 713),0
12395,rfMRI connectivity (ICA100 edge 714),0
12396,rfMRI connectivity (ICA100 edge 715),0
12397,rfMRI connectivity (ICA100 edge 716),0
12398,rfMRI connectivity (ICA100 edge 717),0
12399,rfMRI connectivity (ICA100 edge 519),0
12400,rfMRI connectivity (ICA100 edge 520),0
12401,rfMRI connectivity (ICA100 edge 521),0
12402,rfMRI connectivity (ICA100 edge 522),0
12403,rfMRI connectivity (ICA100 edge 523),0
12404,rfMRI connectivity (ICA100 edge 524),0
12405,rfMRI connectivity (ICA100 edge 525),0
12406,rfMRI connectivity (ICA100 edge 526),0
12407,rfMRI connectivity (ICA100 edge 527),0
12408,rfMRI connectivity (ICA100 edge 528),0
12409,rfMRI connectivity (ICA100 edge 529),0
12410,rfMRI connectivity (ICA100 edge 530),0
12411,rfMRI connectivity (ICA100 edge 531),0
12412,rfMRI connectivity (ICA100 edge 532),0
12413,rfMRI connectivity (ICA100 edge 533),0
12414,rfMRI connectivity (ICA100 edge 534),0
12415,rfMRI connectivity (ICA100 edge 535),0
12416,rfMRI connectivity (ICA100 edge 536),0
12417,rfMRI connectivity (ICA100 edge 537),0
12418,rfMRI connectivity (ICA100 edge 538),0
12419,rfMRI connectivity (ICA100 edge 539),0
12420,rfMRI connectivity (ICA100 edge 540),0
12421,rfMRI connectivity (ICA100 edge 541),0
12422,rfMRI connectivity (ICA100 edge 542),0
12423,rfMRI connectivity (ICA100 edge 543),0
12424,rfMRI connectivity (ICA100 edge 718),0
12425,rfMRI connectivity (ICA100 edge 719),0
12426,rfMRI connectivity (ICA100 edge 720),0
12427,rfMRI connectivity (ICA100 edge 721),0
12428,rfMRI connectivity (ICA100 edge 722),0
12429,rfMRI connectivity (ICA100 edge 723),0
12430,rfMRI connectivity (ICA100 edge 724),0
12431,rfMRI connectivity (ICA100 edge 725),0
12432,rfMRI connectivity (ICA100 edge 726),0
12433,rfMRI connectivity (ICA100 edge 727),0
12434,rfMRI connectivity (ICA100 edge 728),0
12435,rfMRI connectivity (ICA100 edge 729),0
12436,rfMRI connectivity (ICA100 edge 730),0
12437,rfMRI connectivity (ICA100 edge 731),0
12438,rfMRI connectivity (ICA100 edge 732),0
12439,rfMRI connectivity (ICA100 edge 733),0
12440,rfMRI connectivity (ICA100 edge 734),0
12441,rfMRI connectivity (ICA100 edge 735),0
12442,rfMRI connectivity (ICA100 edge 736),0
12443,rfMRI connectivity (ICA100 edge 737),0
12444,rfMRI connectivity (ICA100 edge 738),0
12445,rfMRI connectivity (ICA100 edge 739),0
12446,rfMRI connectivity (ICA100 edge 740),0
12447,rfMRI connectivity (ICA100 edge 741),0
12448,rfMRI connectivity (ICA100 edge 742),0
12449,rfMRI connectivity (ICA100 edge 668),0
12450,rfMRI connectivity (ICA100 edge 669),0
12451,rfMRI connectivity (ICA100 edge 670),0
12452,rfMRI connectivity (ICA100 edge 671),0
12453,rfMRI connectivity (ICA100 edge 672),0
12454,rfMRI connectivity (ICA100 edge 673),0
12455,rfMRI connectivity (ICA100 edge 674),0
12456,rfMRI connectivity (ICA100 edge 675),0
12457,rfMRI connectivity (ICA100 edge 676),0
12458,rfMRI connectivity (ICA100 edge 677),0
12459,rfMRI connectivity (ICA100 edge 678),0
12460,rfMRI connectivity (ICA100 edge 679),0
12461,rfMRI connectivity (ICA100 edge 680),0
12462,rfMRI connectivity (ICA100 edge 681),0
12463,rfMRI connectivity (ICA100 edge 682),0
12464,rfMRI connectivity (ICA100 edge 683),0
12465,rfMRI connectivity (ICA100 edge 684),0
12466,rfMRI connectivity (ICA100 edge 685),0
12467,rfMRI connectivity (ICA100 edge 686),0
12468,rfMRI connectivity (ICA100 edge 687),0
12469,rfMRI connectivity (ICA100 edge 688),0
12470,rfMRI connectivity (ICA100 edge 689),0
12471,rfMRI connectivity (ICA100 edge 690),0
12472,rfMRI connectivity (ICA100 edge 691),0
12473,rfMRI connectivity (ICA100 edge 692),0
12474,rfMRI connectivity (ICA100 edge 1377),0
12475,rfMRI connectivity (ICA100 edge 1378),0
12476,rfMRI connectivity (ICA100 edge 1379),0
12477,rfMRI connectivity (ICA100 edge 1380),0
12478,rfMRI connectivity (ICA100 edge 1381),0
12479,rfMRI connectivity (ICA100 edge 1382),0
12480,rfMRI connectivity (ICA100 edge 1383),0
12481,rfMRI connectivity (ICA100 edge 1384),0
12482,rfMRI connectivity (ICA100 edge 1385),0
12483,rfMRI connectivity (ICA100 edge 1386),0
12484,rfMRI connectivity (ICA100 edge 1387),0
12485,rfMRI connectivity (ICA100 edge 1388),0
12486,rfMRI connectivity (ICA100 edge 1389),0
12487,rfMRI connectivity (ICA100 edge 1390),0
12488,rfMRI connectivity (ICA100 edge 1391),0
12489,rfMRI connectivity (ICA100 edge 1392),0
12490,rfMRI connectivity (ICA100 edge 1393),0
12491,rfMRI connectivity (ICA100 edge 1394),0
12492,rfMRI connectivity (ICA100 edge 1395),0
12493,rfMRI connectivity (ICA100 edge 1396),0
12494,rfMRI connectivity (ICA100 edge 1397),0
12495,rfMRI connectivity (ICA100 edge 1398),0
12496,rfMRI connectivity (ICA100 edge 1399),0
12497,rfMRI connectivity (ICA100 edge 1400),0
12498,rfMRI connectivity (ICA100 edge 1401),0
12499,rfMRI connectivity (ICA100 edge 1327),0
12500,rfMRI connectivity (ICA100 edge 1328),0
12501,rfMRI connectivity (ICA100 edge 1329),0
12502,rfMRI connectivity (ICA100 edge 1330),0
12503,rfMRI connectivity (ICA100 edge 1331),0
12504,rfMRI connectivity (ICA100 edge 1332),0
12505,rfMRI connectivity (ICA100 edge 1333),0
12506,rfMRI connectivity (ICA100 edge 1334),0
12507,rfMRI connectivity (ICA100 edge 1335),0
12508,rfMRI connectivity (ICA100 edge 1336),0
12509,rfMRI connectivity (ICA100 edge 1337),0
12510,rfMRI connectivity (ICA100 edge 1338),0
12511,rfMRI connectivity (ICA100 edge 1339),0
12512,rfMRI connectivity (ICA100 edge 1340),0
12513,rfMRI connectivity (ICA100 edge 1341),0
12514,rfMRI connectivity (ICA100 edge 1342),0
12515,rfMRI connectivity (ICA100 edge 1343),0
12516,rfMRI connectivity (ICA100 edge 1344),0
12517,rfMRI connectivity (ICA100 edge 1345),0
12518,rfMRI connectivity (ICA100 edge 1346),0
12519,rfMRI connectivity (ICA100 edge 1347),0
12520,rfMRI connectivity (ICA100 edge 1348),0
12521,rfMRI connectivity (ICA100 edge 1349),0
12522,rfMRI connectivity (ICA100 edge 1350),0
12523,rfMRI connectivity (ICA100 edge 1351),0
12524,rfMRI connectivity (ICA100 edge 1402),0
12525,rfMRI connectivity (ICA100 edge 1403),0
12526,rfMRI connectivity (ICA100 edge 1404),0
12527,rfMRI connectivity (ICA100 edge 1405),0
12528,rfMRI connectivity (ICA100 edge 1406),0
12529,rfMRI connectivity (ICA100 edge 1407),0
12530,rfMRI connectivity (ICA100 edge 1408),0
12531,rfMRI connectivity (ICA100 edge 1409),0
12532,rfMRI connectivity (ICA100 edge 1410),0
12533,rfMRI connectivity (ICA100 edge 1411),0
12534,rfMRI connectivity (ICA100 edge 1412),0
12535,rfMRI connectivity (ICA100 edge 1413),0
12536,rfMRI connectivity (ICA100 edge 1414),0
12537,rfMRI connectivity (ICA100 edge 1415),0
12538,rfMRI connectivity (ICA100 edge 1416),0
12539,rfMRI connectivity (ICA100 edge 1417),0
12540,rfMRI connectivity (ICA100 edge 1418),0
12541,rfMRI connectivity (ICA100 edge 1419),0
12542,rfMRI connectivity (ICA100 edge 1420),0
12543,rfMRI connectivity (ICA100 edge 1421),0
12544,rfMRI connectivity (ICA100 edge 1422),0
12545,rfMRI connectivity (ICA100 edge 1423),0
12546,rfMRI connectivity (ICA100 edge 1424),0
12547,rfMRI connectivity (ICA100 edge 1425),0
12548,rfMRI connectivity (ICA100 edge 1426),0
12549,rfMRI connectivity (ICA100 edge 1427),0
12550,rfMRI connectivity (ICA100 edge 1428),0
12551,rfMRI connectivity (ICA100 edge 1429),0
12552,rfMRI connectivity (ICA100 edge 1430),0
12553,rfMRI connectivity (ICA100 edge 1431),0
12554,rfMRI connectivity (ICA100 edge 1432),0
12555,rfMRI connectivity (ICA100 edge 1433),0
12556,rfMRI connectivity (ICA100 edge 1434),0
12557,rfMRI connectivity (ICA100 edge 1435),0
12558,rfMRI connectivity (ICA100 edge 1436),0
12559,rfMRI connectivity (ICA100 edge 1437),0
12560,rfMRI connectivity (ICA100 edge 1438),0
12561,rfMRI connectivity (ICA100 edge 1439),0
12562,rfMRI connectivity (ICA100 edge 1440),0
12563,rfMRI connectivity (ICA100 edge 1441),0
12564,rfMRI connectivity (ICA100 edge 1442),0
12565,rfMRI connectivity (ICA100 edge 1443),0
12566,rfMRI connectivity (ICA100 edge 1444),0
12567,rfMRI connectivity (ICA100 edge 1445),0
12568,rfMRI connectivity (ICA100 edge 1446),0
12569,rfMRI connectivity (ICA100 edge 1447),0
12570,rfMRI connectivity (ICA100 edge 1448),0
12571,rfMRI connectivity (ICA100 edge 1449),0
12572,rfMRI connectivity (ICA100 edge 1450),0
12573,rfMRI connectivity (ICA100 edge 1451),0
12574,rfMRI connectivity (ICA100 edge 1352),0
12575,rfMRI connectivity (ICA100 edge 1353),0
12576,rfMRI connectivity (ICA100 edge 1354),0
12577,rfMRI connectivity (ICA100 edge 1355),0
12578,rfMRI connectivity (ICA100 edge 1356),0
12579,rfMRI connectivity (ICA100 edge 1357),0
12580,rfMRI connectivity (ICA100 edge 1358),0
12581,rfMRI connectivity (ICA100 edge 1359),0
12582,rfMRI connectivity (ICA100 edge 1360),0
12583,rfMRI connectivity (ICA100 edge 1361),0
12584,rfMRI connectivity (ICA100 edge 1362),0
12585,rfMRI connectivity (ICA100 edge 1363),0
12586,rfMRI connectivity (ICA100 edge 1364),0
12587,rfMRI connectivity (ICA100 edge 1365),0
12588,rfMRI connectivity (ICA100 edge 1366),0
12589,rfMRI connectivity (ICA100 edge 1367),0
12590,rfMRI connectivity (ICA100 edge 1368),0
12591,rfMRI connectivity (ICA100 edge 1369),0
12592,rfMRI connectivity (ICA100 edge 1370),0
12593,rfMRI connectivity (ICA100 edge 1371),0
12594,rfMRI connectivity (ICA100 edge 1372),0
12595,rfMRI connectivity (ICA100 edge 1373),0
12596,rfMRI connectivity (ICA100 edge 1374),0
12597,rfMRI connectivity (ICA100 edge 1375),0
12598,rfMRI connectivity (ICA100 edge 1376),0
12599,rfMRI connectivity (ICA100 edge 1452),0
12600,rfMRI connectivity (ICA100 edge 1453),0
12601,rfMRI connectivity (ICA100 edge 1454),0
12602,rfMRI connectivity (ICA100 edge 1455),0
12603,rfMRI connectivity (ICA100 edge 1456),0
12604,rfMRI connectivity (ICA100 edge 1457),0
12605,rfMRI connectivity (ICA100 edge 1458),0
12606,rfMRI connectivity (ICA100 edge 1459),0
12607,rfMRI connectivity (ICA100 edge 1460),0
12608,rfMRI connectivity (ICA100 edge 1461),0
12609,rfMRI connectivity (ICA100 edge 1462),0
12610,rfMRI connectivity (ICA100 edge 1463),0
12611,rfMRI connectivity (ICA100 edge 1464),0
12612,rfMRI connectivity (ICA100 edge 1465),0
12613,rfMRI connectivity (ICA100 edge 1466),0
12614,rfMRI connectivity (ICA100 edge 1467),0
12615,rfMRI connectivity (ICA100 edge 1468),0
12616,rfMRI connectivity (ICA100 edge 1469),0
12617,rfMRI connectivity (ICA100 edge 1470),0
12618,rfMRI connectivity (ICA100 edge 1471),0
12619,rfMRI connectivity (ICA100 edge 1472),0
12620,rfMRI connectivity (ICA100 edge 1473),0
12621,rfMRI connectivity (ICA100 edge 1474),0
12622,rfMRI connectivity (ICA100 edge 1475),0
12623,rfMRI connectivity (ICA100 edge 1476),0
12624,rfMRI connectivity (ICA100 edge 1477),0
12625,rfMRI connectivity (ICA100 edge 1478),0
12626,rfMRI connectivity (ICA100 edge 1479),0
12627,rfMRI connectivity (ICA100 edge 1480),0
12628,rfMRI connectivity (ICA100 edge 1481),0
12629,rfMRI connectivity (ICA100 edge 1482),0
12630,rfMRI connectivity (ICA100 edge 1483),0
12631,rfMRI connectivity (ICA100 edge 1484),0
12632,rfMRI connectivity (ICA100 edge 1485),0
12633,rfMRI connectivity ICA-features 1,0
12634,Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe ocular complications,0
12636,IDP T2 FLAIR BIANCA WMH volume,0
12637,IDP SWI T2star left thalamus,0
12638,IDP SWI T2star right thalamus,0
12639,IDP SWI T2star left caudate,0
12640,IDP SWI T2star right caudate,0
12641,IDP SWI T2star left putamen,0
12642,IDP SWI T2star right putamen,0
12643,IDP SWI T2star left pallidum,0
12644,IDP SWI T2star right pallidum,0
12645,IDP SWI T2star left hippocampus,0
12646,rfMRI connectivity (ICA100 edge 289),0
12647,rfMRI connectivity (ICA100 edge 290),0
12648,rfMRI connectivity (ICA100 edge 291),0
12649,rfMRI connectivity (ICA100 edge 292),0
12650,rfMRI connectivity (ICA100 edge 293),0
12651,rfMRI connectivity (ICA100 edge 294),0
12652,rfMRI connectivity (ICA100 edge 295),0
12653,rfMRI connectivity (ICA100 edge 296),0
12654,rfMRI connectivity (ICA100 edge 297),0
12655,rfMRI connectivity (ICA100 edge 298),0
12656,rfMRI connectivity (ICA100 edge 299),0
12657,rfMRI connectivity (ICA100 edge 300),0
12658,rfMRI connectivity (ICA100 edge 301),0
12659,rfMRI connectivity (ICA100 edge 302),0
12660,rfMRI connectivity (ICA100 edge 303),0
12661,rfMRI connectivity (ICA100 edge 304),0
12662,rfMRI connectivity (ICA100 edge 305),0
12663,rfMRI connectivity (ICA100 edge 306),0
12664,rfMRI connectivity (ICA100 edge 307),0
12665,rfMRI connectivity (ICA100 edge 308),0
12666,rfMRI connectivity (ICA100 edge 309),0
12667,rfMRI connectivity (ICA100 edge 310),0
12668,rfMRI connectivity (ICA100 edge 311),0
12669,rfMRI connectivity (ICA100 edge 312),0
12670,rfMRI connectivity (ICA100 edge 313),0
12671,rfMRI connectivity (ICA100 edge 314),0
12672,rfMRI connectivity (ICA100 edge 315),0
12673,rfMRI connectivity (ICA100 edge 316),0
12674,rfMRI connectivity (ICA100 edge 317),0
12675,rfMRI connectivity (ICA100 edge 318),0
12676,rfMRI connectivity (ICA100 edge 319),0
12677,rfMRI connectivity (ICA100 edge 320),0
12678,rfMRI connectivity (ICA100 edge 321),0
12679,rfMRI connectivity (ICA100 edge 322),0
12680,rfMRI connectivity (ICA100 edge 323),0
12681,rfMRI connectivity (ICA100 edge 324),0
12682,rfMRI connectivity (ICA100 edge 325),0
12683,rfMRI connectivity (ICA100 edge 326),0
12684,rfMRI connectivity (ICA100 edge 327),0
12685,rfMRI connectivity (ICA100 edge 328),0
12686,HippSubfield rh volume CA3-head,0
12687,HippSubfield rh volume HATA,0
12688,HippSubfield rh volume Whole-hippocampal-body,0
12689,HippSubfield rh volume Whole-hippocampal-head,0
12690,HippSubfield rh volume Whole-hippocampus,0
12691,ThalamNuclei lh volume MGN,0
12692,ThalamNuclei lh volume LGN,0
12693,ThalamNuclei lh volume PuI,0
12694,ThalamNuclei lh volume PuM,0
12695,ThalamNuclei lh volume L-Sg,0
12696,ThalamNuclei lh volume VPL,0
12697,ThalamNuclei lh volume CM,0
12698,wg rh intensity-contrast posteriorcingulate,0
12699,wg rh intensity-contrast precentral,0
12700,wg rh intensity-contrast precuneus,0
12701,wg rh intensity-contrast rostralanteriorcingulate,0
12702,wg rh intensity-contrast rostralmiddlefrontal,0
12703,wg rh intensity-contrast superiorfrontal,0
12704,wg rh intensity-contrast superiorparietal,0
12705,wg rh intensity-contrast superiortemporal,0
12706,wg rh intensity-contrast supramarginal,0
12707,wg rh intensity-contrast frontalpole,0
12708,wg rh intensity-contrast temporalpole,0
12709,wg rh intensity-contrast transversetemporal,0
12710,wg rh intensity-contrast insula,0
12711,rfMRI connectivity (ICA100 edge 379),0
12712,rfMRI connectivity (ICA100 edge 380),0
12713,ThalamNuclei lh volume VLa,0
12714,ThalamNuclei lh volume PuA,0
12715,ThalamNuclei lh volume MDm,0
12716,ThalamNuclei lh volume Pf,0
12717,ThalamNuclei lh volume VAmc,0
12718,ThalamNuclei lh volume MDl,0
12719,ThalamNuclei lh volume CeM,0
12720,ThalamNuclei lh volume VA,0
12721,ThalamNuclei lh volume MV(Re),0
12722,ThalamNuclei lh volume VM,0
12723,ThalamNuclei lh volume CL,0
12724,ThalamNuclei lh volume PuL,0
12725,ThalamNuclei lh volume Pt,0
12726,ThalamNuclei lh volume AV,0
12727,ThalamNuclei lh volume Pc,0
12728,ThalamNuclei lh volume VLp,0
12729,ThalamNuclei lh volume LP,0
12730,ThalamNuclei rh volume LGN,0
12731,ThalamNuclei rh volume MGN,0
12732,ThalamNuclei rh volume PuI,0
12733,ThalamNuclei rh volume PuM,0
12734,ThalamNuclei rh volume L-Sg,0
12735,ThalamNuclei rh volume VPL,0
12736,ThalamNuclei rh volume CM,0
12737,ThalamNuclei rh volume VLa,0
12738,ThalamNuclei rh volume PuA,0
12739,ThalamNuclei rh volume MDm,0
12740,ThalamNuclei rh volume Pf,0
12741,ThalamNuclei rh volume VAmc,0
12742,ThalamNuclei rh volume MDl,0
12743,ThalamNuclei rh volume VA,0
12744,ThalamNuclei rh volume MV(Re),0
12745,ThalamNuclei rh volume CeM,0
12746,ThalamNuclei rh volume VM,0
12747,ThalamNuclei rh volume PuL,0
12748,ThalamNuclei rh volume CL,0
12749,ThalamNuclei rh volume VLp,0
12750,ThalamNuclei rh volume Pc,0
12751,ThalamNuclei rh volume Pt,0
12752,ThalamNuclei rh volume AV,0
12753,ThalamNuclei rh volume LP,0
12754,ThalamNuclei lh volume LD,0
12755,ThalamNuclei rh volume LD,0
12756,ThalamNuclei lh volume Whole-thalamus,0
12757,ThalamNuclei rh volume Whole-thalamus,0
12758,Brainstem global volume Medulla,0
12759,Brainstem global volume Pons,0
12760,Brainstem global volume SCP,0
12761,rfMRI connectivity (ICA100 edge 329),0
12762,rfMRI connectivity (ICA100 edge 330),0
12763,rfMRI connectivity (ICA100 edge 331),0
12764,rfMRI connectivity (ICA100 edge 332),0
12765,rfMRI connectivity (ICA100 edge 333),0
12766,rfMRI connectivity (ICA100 edge 334),0
12767,rfMRI connectivity (ICA100 edge 335),0
12768,rfMRI connectivity (ICA100 edge 336),0
12769,rfMRI connectivity (ICA100 edge 337),0
12770,rfMRI connectivity (ICA100 edge 338),0
12771,rfMRI connectivity (ICA100 edge 339),0
12772,rfMRI connectivity (ICA100 edge 340),0
12773,rfMRI connectivity (ICA100 edge 341),0
12774,rfMRI connectivity (ICA100 edge 342),0
12775,rfMRI connectivity (ICA100 edge 343),0
12776,rfMRI connectivity (ICA100 edge 344),0
12777,rfMRI connectivity (ICA100 edge 345),0
12778,rfMRI connectivity (ICA100 edge 346),0
12779,rfMRI connectivity (ICA100 edge 347),0
12780,rfMRI connectivity (ICA100 edge 348),0
12781,rfMRI connectivity (ICA100 edge 349),0
12782,rfMRI connectivity (ICA100 edge 350),0
12783,rfMRI connectivity (ICA100 edge 351),0
12784,rfMRI connectivity (ICA100 edge 352),0
12785,rfMRI connectivity (ICA100 edge 353),0
12786,rfMRI connectivity (ICA100 edge 354),0
12787,rfMRI connectivity (ICA100 edge 355),0
12788,rfMRI connectivity (ICA100 edge 356),0
12789,rfMRI connectivity (ICA100 edge 357),0
12790,rfMRI connectivity (ICA100 edge 358),0
12791,rfMRI connectivity (ICA100 edge 359),0
12792,rfMRI connectivity (ICA100 edge 360),0
12793,rfMRI connectivity (ICA100 edge 361),0
12794,rfMRI connectivity (ICA100 edge 362),0
12795,rfMRI connectivity (ICA100 edge 363),0
12796,rfMRI connectivity (ICA100 edge 364),0
12797,rfMRI connectivity (ICA100 edge 365),0
12798,rfMRI connectivity (ICA100 edge 366),0
12799,rfMRI connectivity (ICA100 edge 367),0
12800,rfMRI connectivity (ICA100 edge 368),0
12801,rfMRI connectivity (ICA100 edge 369),0
12802,rfMRI connectivity (ICA100 edge 370),0
12803,rfMRI connectivity (ICA100 edge 371),0
12804,rfMRI connectivity (ICA100 edge 372),0
12805,rfMRI connectivity (ICA100 edge 373),0
12806,rfMRI connectivity (ICA100 edge 374),0
12807,rfMRI connectivity (ICA100 edge 375),0
12808,rfMRI connectivity (ICA100 edge 376),0
12809,rfMRI connectivity (ICA100 edge 377),0
12810,rfMRI connectivity (ICA100 edge 378),0
12811,aparc-DKTatlas lh thickness caudalanteriorcingulate,0
12812,rfMRI amplitudes (ICA100 node 28),0
12813,rfMRI amplitudes (ICA100 node 29),0
12814,rfMRI amplitudes (ICA100 node 30),0
12815,rfMRI amplitudes (ICA100 node 31),0
12816,rfMRI amplitudes (ICA100 node 32),0
12817,rfMRI amplitudes (ICA100 node 33),0
12818,rfMRI amplitudes (ICA100 node 34),0
12819,rfMRI amplitudes (ICA100 node 35),0
12820,rfMRI amplitudes (ICA100 node 36),0
12821,rfMRI amplitudes (ICA100 node 37),0
12822,rfMRI amplitudes (ICA100 node 38),0
12823,rfMRI amplitudes (ICA100 node 39),0
12824,rfMRI amplitudes (ICA100 node 40),0
12825,rfMRI amplitudes (ICA100 node 41),0
12826,rfMRI amplitudes (ICA100 node 42),0
12827,rfMRI amplitudes (ICA100 node 43),0
12828,rfMRI amplitudes (ICA100 node 44),0
12829,rfMRI amplitudes (ICA100 node 45),0
12830,rfMRI amplitudes (ICA100 node 46),0
12831,rfMRI amplitudes (ICA100 node 47),0
12832,rfMRI amplitudes (ICA100 node 48),0
12833,rfMRI amplitudes (ICA100 node 49),0
12834,rfMRI amplitudes (ICA100 node 50),0
12835,rfMRI amplitudes (ICA100 node 51),0
12836,rfMRI amplitudes (ICA100 node 27),0
12837,aparc-Desikan lh thickness posteriorcingulate,0
12838,aparc-Desikan lh thickness precentral,0
12839,aparc-Desikan lh thickness precuneus,0
12840,aparc-Desikan lh thickness rostralanteriorcingulate,0
12841,aparc-Desikan lh thickness rostralmiddlefrontal,0
12842,aparc-Desikan lh thickness superiorfrontal,0
12843,aparc-Desikan lh thickness superiorparietal,0
